,url,input_tag,input_tag_value,src_link,form_handler,form_handler_value,invisible_iframe,invisible_iframe_value,rewrite_statusbar,disable_rightclick,ahref_link,popup_window,popup_window_value,favicon_link,old_technologies,missleading_link,missleading_link_value,hostname_title,ip_address,url_length,host_length,path_length,query_length,fragment_length,user_info,domain_count,https_used,extra_https,shortening_service,non_std_port,spec_chars_path,spec_chars_query,spec_chars_fragment,spec_chars_host,gtld,www_prefix,four_numbers,spec_keywords,punycode,redirect,google_index,dns_a_record,dnssec,dns_created,dns_updated,ssl_created,ssl_expire,ssl_subject,hsts,xss_protection,csp,x_frame,x_content_type,asn,similar_domain,label,dns_created_value,dns_updated_value,ssl_created_value,ssl_expire_value,asn_value
218,http://hacheyou.com/master/MPAcc/li2014052716153767241320.shtml,0,0,0.09523809523809523,0,0,0,0,0,0,0.06756756756756757,0,0,0,1,1,1,1,0.0,0.333333,0.0740741,0.48863599999999996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,2016-08-03,2019-08-08,0,0,AS22552
219,http://hacheyou.com/english/shiti/zh2014122818101282098834.shtml,0,0,0.05128205128205128,0,0,0,0,0,0,0.04395604395604396,0,0,0,1,1,1,1,0.0,0.340136,0.0740741,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,2016-08-03,2019-08-08,0,0,AS22552
220,http://art-sticker.fr/humby/librairies/manual/2b115aa3d6aa01df58b61d301ce4a5a8/way.php,1,12,0.5,0,0,0,0,0,0,0.0,0,0,0,1,0,0,1,0.0,0.489796,0.148148,0.727273,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.714286,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.125,1,2006-10-12,2016-03-15,0,0,AS8560
221,http://hacheyou.com/english/shiti/wx1711074386.shtml,0,0,0.05128205128205128,0,0,0,0,0,0,0.04444444444444445,0,0,0,1,1,1,1,0.0,0.25850300000000004,0.0740741,0.363636,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,2016-08-03,2019-08-08,0,0,AS22552
222,http://hacheyou.com/english/mnt/page31.shtm,1,1,0.18181818181818185,0,0,0,0,0,0,0.011627906976744186,0,0,0,1,0,0,1,0.0,0.197279,0.0740741,0.261364,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,2016-08-03,2019-08-08,0,0,AS22552
223,http://exceltips.co.il/wp-content/plugins/pixelyoursite/modules/pinterest/internetbanking.suncorpbank.htm,0,0,0.0,0,0,0,0,0,0,1.0,0,0,0,1,0,0,1,0.0,0.6190479999999999,0.185185,0.931818,0.0,0.0,0.0,0.05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25,1,0,0,0,0,AS46606
224,http://test.rfppl.co.in/-/-/home/file/log/nfx/nfx/a05ca6758616d6a51ac21cebd/,1,3,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0.0,0.42176899999999995,0.22222199999999998,0.590909,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,0,0,0,0,AS13335
225,http://techarena.online/vmail/source/cmd-login=688fe4912f76e3cb3ce51b2363d97b20,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,1,0.0,0.44217700000000004,0.22222199999999998,0.625,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.571429,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,2019-01-20,2019-10-09,0,0,AS34119
226,https://ortwideowe.uk/.rem/dd-d/D4um/daum/index.html,1,4,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,1,0.0,0.25850300000000004,0.11111099999999999,0.340909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,0,0,Nov 10 15:34:32 2019 GMT,Feb  8 15:34:32 2020 GMT,AS36352
227,http://patraglobal.com/2018/1230/c11556a141406/page.htm,1,2,0.0,0,0,0,0,0,0,0.0,0,0,0,1,0,0,1,0.0,0.278912,0.185185,0.363636,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,2019-01-19,2019-01-21,0,0,AS37353
