url,input_tag,input_tag_value,src_link,form_handler,form_handler_value,invisible_iframe,invisible_iframe_value,rewrite_statusbar,disable_rightclick,ahref_link,popup_window,popup_window_value,favicon_link,old_technologies,missleading_link,missleading_link_value,hostname_title,ip_address,url_length,host_length,path_length,query_length,fragment_length,user_info,domain_count,https_used,extra_https,shortening_service,non_std_port,spec_chars_path,spec_chars_query,spec_chars_fragment,spec_chars_host,gtld,www_prefix,four_numbers,spec_keywords,punycode,redirect,google_index,dns_a_record,dnssec,dns_created,dns_updated,ssl_created,ssl_expire,ssl_subject,hsts,xss_protection,csp,x_frame,x_content_type,asn,similar_domain,label,dns_created_value,dns_updated_value,ssl_created_value,ssl_expire_value,asn_value
http://hacheyou.com/news/12_15/2009_8_25_wa14555140252890025295.shtml,0.0,0,0.09523809523809523,0.0,0,0.0,0,0,0,0.06666666666666668,0.0,0,0,1,0.01,1,1,0.0,0.37415,0.0740741,0.556818,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8345909382426658,0.9861093459117419,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2016-08-03,2019-08-08,0,0,AS22552
http://hacheyou.com/news/2009/2/qi06402920615290028816.html,0.0,0,0.05128205128205128,0.0,0,0.0,0,0,0,0.042105263157894736,0.0,0,0,1,0.01,1,1,0.0,0.306122,0.0740741,0.44318199999999996,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8345909382426658,0.9861093459117419,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2016-08-03,2019-08-08,0,0,AS22552
http://hacheyou.com/kjgx/kjgx.shtml,0.0,0,0.3333333333333333,0.0,0,0.0,0,0,0,0.02564102564102564,0.0,0,0,1,0.0,0,1,0.0,0.14285699999999998,0.0740741,0.170455,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.28571399999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8345909382426658,0.9861093459117419,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2016-08-03,2019-08-08,0,0,AS22552
http://digiclass.co.in/calendar/inodeuf-ipdif/56d5051c7b90fc2eb3d27532d9b857ff/view/surf2.php,0.28,14,0.5454545454545454,0.0,0,0.0,0,0,0,0.0,0.0,0,0,1,0.0,0,1,0.0,0.537415,0.185185,0.795455,0.0,0.0,0.0,0.05,1.0,0.0,0.0,0.0,0.857143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9684262938483018,0.0,1,0,0,0,0,AS46606
http://patraglobal.com/2019/0220,0.02,1,0.125,0.0,0,0.0,0,0,0,0.3333333333333333,0.0,0,0,1,0.0,0,1,0.0,0.122449,0.185185,0.102273,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14285699999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9584228005103925,0.9586982885243364,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,2019-01-19,2019-01-21,0,0,0
http://collegedefense.com/Gdoc/gdoc/filewords/verification.php,0.12,6,0.0,0.2,1,0.0,0,0,0,0.0,0.0,0,0,1,0.0,0,1,0.0,0.326531,0.296296,0.409091,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7294922609231157,0.9810128176537821,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9537676373461422,1.0,1,2014-07-02,2019-07-02,0,0,AS54641
http://patraglobal.com/2016/1228/c7998a84583/none,0.02,1,0.125,0.0,0,0.0,0,0,0,0.3333333333333333,0.0,0,0,1,0.0,0,1,0.0,0.23809499999999997,0.185185,0.295455,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9584228005103925,0.9586982885243364,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,2019-01-19,2019-01-21,0,0,AS37353
http://patraglobal.com/2018/1222/c607a141034,0.02,1,0.125,0.0,0,0.0,0,0,0,0.3333333333333333,0.0,0,0,1,0.0,0,1,0.0,0.20408199999999999,0.185185,0.23863600000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.28571399999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9584228005103925,0.9586982885243364,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,2019-01-19,2019-01-21,0,0,0
http://patraglobal.com/2017/0510/c666a87453,0.02,1,0.125,0.0,0,0.0,0,0,0,0.3333333333333333,0.0,0,0,1,0.0,0,1,0.0,0.197279,0.185185,0.227273,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.28571399999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9584228005103925,0.9586982885243364,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,2019-01-19,2019-01-21,0,0,0
http://centralmontanarealty.com/.popup.ourtime.authenticated,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,1,0.0,0,1,0.0,0.312925,0.518519,0.318182,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.35097172976436913,0.962692864726521,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1,2006-12-23,2019-02-19,0,0,0
http://digiclass.co.in/calendar/inodeuf-ipdif/56d5051c7b90fc2eb3d27532d9b857ff/view/login.php,0.06,3,0.16666666666666666,0.0,0,0.0,0,0,0,0.0,0.0,0,0,1,0.0,0,1,0.0,0.537415,0.185185,0.795455,0.0,0.0,0.0,0.05,1.0,0.0,0.0,0.0,0.857143,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9684262938483018,0.0,1,0,0,0,0,AS46606
http://digiclass.co.in/calendar/inodeuf-ipdif/56d5051c7b90fc2eb3d27532d9b857ff/view/login.php?cmd=login_submit&id=bc28fb3206909465428c29e3cb51363fbc28fb3206909465428c29e3cb51363f&session=bc28fb3206909465428c29e3cb51363fbc28fb3206909465428c29e3cb51363f,0.06,3,0.16666666666666666,0.0,0,0.0,0,0,0,0.0,0.0,0,0,1,0.0,0,1,0.0,1.0,0.185185,0.795455,0.705607,0.0,0.0,0.05,1.0,0.0,0.0,0.0,0.857143,0.461538,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9684262938483018,0.0,1,0,0,0,0,AS46606
https://aporsz.000webhostapp.com/help-login.htm,0.0,0,1.0,0.0,0,0.0,0,0,0,1.0,0.0,0,1,1,0.01,1,1,0.0,0.22449000000000002,0.518519,0.159091,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.28571399999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4274684963216641,0.7747287702942669,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0,Jun 11 00:00:00 2019 GMT,Jul 10 12:00:00 2021 GMT,AS204915
https://helpcenter00w.000webhostapp.com/mobile-facebook-verification.htm,0.0,0,1.0,0.0,0,0.0,0,0,0,1.0,0.0,0,1,1,0.01,1,1,0.0,0.394558,0.777778,0.363636,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4274684963216641,0.7747287702942669,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,0,0,Jun 11 00:00:00 2019 GMT,Jul 10 12:00:00 2021 GMT,AS204915
http://gicomed.com/wp-includes/js/tinymce/plugins/compat3x/25GB/index2.php?email=/,0.08,4,1.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,1,0.0,0,1,0.0,0.462585,0.037037,0.625,0.0046729,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9508468801269387,0.9508468801269387,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1,2018-11-25,2018-11-25,0,0,AS45544
http://wadanhewad.af/sfr/po,0.28,14,0.9714285714285714,0.2,1,0.0,0,0,0,0.008928571428571428,0.0,0,1,1,0.0,0,1,0.0,0.0884354,0.11111099999999999,0.0681818,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.14285699999999998,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9749796913078798,1.0,1,0,0,0,0,AS33182
